Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Fwd Header Len,Bwd Header Len,Pkt Len Mean,Pkt Len Std,Pkt Len Var
192.168.85.228-192.168.85.99-52830-53-6,192.168.85.228,52830,192.168.85.99,53,6,221074,5,6,42,173,40,0,8.4,17.68615278,172,0,28.83333333,70.13819692,972.5250369,49.75709491,100,144,17.91666667,49.85152197,2485.174242
192.168.85.228-192.168.85.99-52850-53-6,192.168.85.228,52850,192.168.85.99,53,6,228086,5,6,50,66,48,0,10,21.26029163,65,0,11,26.45751311,508.580097,48.22742299,100,144,9.666666667,22.18243914,492.0606061
192.168.85.228-192.168.85.99-52851-53-6,192.168.85.228,52851,192.168.85.99,53,6,227898,5,6,50,134,48,0,10,21.26029163,133,0,22.33333333,54.21684855,807.3787396,48.26720726,100,144,15.33333333,39.51601133,1561.515152
192.168.85.228-192.168.85.99-52849-53-6,192.168.85.228,52849,192.168.85.99,53,6,262780,4,6,50,78,48,0,12.5,23.68543856,77,0,13,31.35602016,487.0994748,38.05464647,80,144,11.63636364,25.97796269,674.8545455
192.168.85.228-192.168.85.99-52861-53-6,192.168.85.228,52861,192.168.85.99,53,6,253833,5,6,45,102,43,0,9,19.02629759,101,0,17,41.15337167,579.1209181,43.3355789,100,144,12.25,30.53202492,932.2045455
192.168.85.228-192.168.85.99-52860-53-6,192.168.85.228,52860,192.168.85.99,53,6,254498,5,6,45,61,43,0,9,19.02629759,60,0,10.16666667,24.41652446,416.5062201,43.22234359,100,144,8.833333333,20.26565986,410.6969697
192.168.85.228-192.168.85.99-52859-53-6,192.168.85.228,52859,192.168.85.99,53,6,255437,5,6,45,73,43,0,9,19.02629759,72,0,12.16666667,29.31495636,461.9534367,43.06345596,100,144,9.833333333,23.11565126,534.3333333
192.168.85.228-192.168.85.99-52888-53-6,192.168.85.228,52888,192.168.85.99,53,6,217058,5,6,45,73,43,0,9,19.02629759,72,0,12.16666667,29.31495636,543.6334989,50.67769905,100,144,9.833333333,23.11565126,534.3333333
192.168.85.228-192.168.85.99-52889-53-6,192.168.85.228,52889,192.168.85.99,53,6,216945,5,6,45,61,43,0,9,19.02629759,60,0,10.16666667,24.41652446,488.6031022,50.70409551,100,144,8.833333333,20.26565986,410.6969697
192.168.85.228-192.168.85.99-52890-53-6,192.168.85.228,52890,192.168.85.99,53,6,265830,5,5,45,1,43,0,9,19.02629759,1,0,0.2,0.447213595,173.0429222,37.61802656,100,124,4.181818182,12.89044749,166.1636364
