"Flow ID","Src IP","Src Port","Dst IP","Dst Port","Protocol","Flow Duration","Tot Fwd Pkts","Tot Bwd Pkts","TotLen Fwd Pkts","TotLen Bwd Pkts","Fwd Pkt Len Max","Fwd Pkt Len Min","Fwd Pkt Len Mean","Fwd Pkt Len Std","Bwd Pkt Len Max","Bwd Pkt Len Min","Bwd Pkt Len Mean","Bwd Pkt Len Std","Flow Byts/s","Flow Pkts/s","Fwd Header Len","Bwd Header Len","Pkt Len Mean","Pkt Len Std","Pkt Len Var","Label"
"172.31.69.28-18.216.200.189-80-59273-6","172.31.69.28","80","18.216.200.189","59273","6","76731","4","3","935","312","935","0","233.75","467.5","312","0","104","180.133284","16251.5802","91.22779581","92","72","155.875","333.2079735","111027.5536","1"
"172.31.69.25-18.219.193.20-80-48290-6","18.219.193.20","48290","172.31.69.25","80","6","7150","1","1","0","0","0","0","0","0","0","0","0","0","0","279.7202797","32","32","0","0","0","1"
"172.31.69.25-18.219.193.20-80-50272-6","18.219.193.20","50272","172.31.69.25","80","6","4250","1","1","0","0","0","0","0","0","0","0","0","0","0","470.5882353","32","32","0","0","0","1"
"172.31.69.28-18.218.11.51-80-63195-6","18.218.11.51","63195","172.31.69.28","80","6","1600","1","1","0","0","0","0","0","0","0","0","0","0","0","1250","20","20","0","0","0","1"
"172.31.69.25-18.219.193.20-80-57810-6","172.31.69.25","80","18.219.193.20","57810","6","4426462","4","4","935","304","935","0","233.75","467.5","304","0","76","152","279.9075198","1.807312477","136","136","137.6666667","315.4504715","99509","1"
"172.31.69.28-18.218.115.60-80-60792-6","18.218.115.60","60792","172.31.69.28","80","6","785","1","1","0","0","0","0","0","0","0","0","0","0","0","2547.770701","20","20","0","0","0","1"
"172.31.69.28-18.219.9.1-80-57484-6","18.219.9.1","57484","172.31.69.28","80","6","1407","1","1","0","0","0","0","0","0","0","0","0","0","0","1421.464108","20","20","0","0","0","1"
"172.31.69.25-18.219.193.20-80-58950-6","18.219.193.20","58950","172.31.69.25","80","6","19275","1","1","0","0","0","0","0","0","0","0","0","0","0","103.7613489","32","32","0","0","0","1"
"172.31.69.28-18.219.9.1-80-56205-6","18.219.9.1","56205","172.31.69.28","80","6","2422","1","1","0","0","0","0","0","0","0","0","0","0","0","825.7638315","20","20","0","0","0","1"
"172.31.69.25-18.219.193.20-80-60662-6","18.219.193.20","60662","172.31.69.25","80","6","9787","1","1","0","0","0","0","0","0","0","0","0","0","0","204.3527128","32","32","0","0","0","1"
"172.31.69.25-13.59.126.31-21-41800-6","13.59.126.31","41800","172.31.69.25","21","6","2","0","2","0","0","0","0","0","0","0","0","0","0","0","1000000","0","60","0","0","0","1"
"172.31.69.25-18.219.193.20-80-57480-6","18.219.193.20","57480","172.31.69.25","80","6","20501","1","1","0","0","0","0","0","0","0","0","0","0","0","97.55621677","32","32","0","0","0","1"
"172.31.69.25-18.219.193.20-80-41722-6","172.31.69.25","80","18.219.193.20","41722","6","4740297","4","5","935","686","935","0","233.75","467.5","343","0","137.2","187.8688372","341.9616956","1.898615213","136","168","162.1","306.7316779","94084.32222","1"
"172.31.69.28-52.14.136.135-80-56245-6","52.14.136.135","56245","172.31.69.28","80","6","2564","1","1","0","0","0","0","0","0","0","0","0","0","0","780.0312012","20","20","0","0","0","1"
"172.31.69.28-18.218.55.126-80-52003-6","18.218.55.126","52003","172.31.69.28","80","6","1264","1","1","0","0","0","0","0","0","0","0","0","0","0","1582.278481","20","20","0","0","0","1"
"172.31.69.28-18.216.24.42-80-55008-6","18.216.24.42","55008","172.31.69.28","80","6","17113","1","1","0","0","0","0","0","0","0","0","0","0","0","116.8702156","20","20","0","0","0","1"
"172.31.69.25-18.219.193.20-80-38816-6","18.219.193.20","38816","172.31.69.25","80","6","3330","1","1","0","0","0","0","0","0","0","0","0","0","0","600.6006006","32","32","0","0","0","1"
"172.31.69.25-18.219.193.20-80-34248-6","18.219.193.20","34248","172.31.69.25","80","6","1463","1","1","0","0","0","0","0","0","0","0","0","0","0","1367.053999","32","32","0","0","0","1"
"172.31.69.25-52.14.136.135-80-53507-6","52.14.136.135","53507","172.31.69.25","80","6","1082748","3","4","20","964","20","0","6.666666667","11.54700538","964","0","241","482","908.7987232","6.465031568","72","92","123","339.8873763","115523.4286","1"
"172.31.69.28-18.216.200.189-80-61514-6","18.216.200.189","61514","172.31.69.28","80","6","1779","1","1","0","0","0","0","0","0","0","0","0","0","0","1124.227094","20","20","0","0","0","1"
"172.31.69.25-13.59.126.31-21-53434-6","13.59.126.31","53434","172.31.69.25","21","6","3","0","2","0","0","0","0","0","0","0","0","0","0","0","666666.6667","0","60","0","0","0","1"
"172.31.69.28-18.218.229.235-80-65308-6","18.218.229.235","65308","172.31.69.28","80","6","1875","1","1","0","0","0","0","0","0","0","0","0","0","0","1066.666667","20","20","0","0","0","1"
"172.31.69.25-18.219.5.43-80-58277-6","18.219.5.43","58277","172.31.69.25","80","6","1585982","3","4","20","964","20","0","6.666666667","11.54700538","964","0","241","482","620.4357931","4.41366926","72","92","123","339.8873763","115523.4286","1"
"172.31.69.28-52.14.136.135-80-61062-6","52.14.136.135","61062","172.31.69.28","80","6","2621","1","1","0","0","0","0","0","0","0","0","0","0","0","763.0675315","20","20","0","0","0","1"
"172.31.69.25-13.59.126.31-21-59374-6","13.59.126.31","59374","172.31.69.25","21","6","3","0","2","0","0","0","0","0","0","0","0","0","0","0","666666.6667","0","60","0","0","0","1"
"172.31.69.25-18.219.193.20-80-56032-6","172.31.69.25","80","18.219.193.20","56032","6","5383974","4","5","935","349","935","0","233.75","467.5","349","0","69.8","156.0775448","238.4855499","1.671627686","136","168","128.4","303.8933292","92351.15556","1"
"172.31.69.25-18.219.193.20-80-49860-6","172.31.69.25","80","18.219.193.20","49860","6","4760511","3","7","935","746","935","0","311.6666667","539.8225017","373","0","106.5714286","182.0053636","353.1133527","2.100614829","104","232","152.8181818","299.2650391","89559.56364","1"
"172.31.69.25-13.59.126.31-21-52274-6","13.59.126.31","52274","172.31.69.25","21","6","2","0","2","0","0","0","0","0","0","0","0","0","0","0","1000000","0","60","0","0","0","1"
"192.168.4.119-203.73.24.75-1357-80-6","192.168.4.119","1357","203.73.24.75","80","6","372","1","1","0","0","0","0","0","0","0","0","0","0","0","5376.344086","20","20","0","0","0","1"
